,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17,month18,month19,month20,month21,month22,month23,month24,s_DC1_1,s_DC1_2,s_DC1_3,s_DC1_4,s_DC1_5,s_DC1_6,s_DC1_7,s_DC1_8,s_DC1_9,s_DC1_10,s_DC1_11,s_DC1_12,s_DC1_13,s_DC1_14,s_DC1_15,s_DC1_16,s_DC1_17,s_DC1_18,s_DC1_19,s_DC1_20,s_DC1_21,s_DC1_22,s_DC1_23,s_DC1_24,S_DC1_1,S_DC1_2,S_DC1_3,S_DC1_4,S_DC1_5,S_DC1_6,S_DC1_7,S_DC1_8,S_DC1_9,S_DC1_10,S_DC1_11,S_DC1_12,S_DC1_13,S_DC1_14,S_DC1_15,S_DC1_16,S_DC1_17,S_DC1_18,S_DC1_19,S_DC1_20,S_DC1_21,S_DC1_22,S_DC1_23,S_DC1_24,s_DC2_1,s_DC2_2,s_DC2_3,s_DC2_4,s_DC2_5,s_DC2_6,s_DC2_7,s_DC2_8,s_DC2_9,s_DC2_10,s_DC2_11,s_DC2_12,s_DC2_13,s_DC2_14,s_DC2_15,s_DC2_16,s_DC2_17,s_DC2_18,s_DC2_19,s_DC2_20,s_DC2_21,s_DC2_22,s_DC2_23,s_DC2_24,S_DC2_1,S_DC2_2,S_DC2_3,S_DC2_4,S_DC2_5,S_DC2_6,S_DC2_7,S_DC2_8,S_DC2_9,S_DC2_10,S_DC2_11,S_DC2_12,S_DC2_13,S_DC2_14,S_DC2_15,S_DC2_16,S_DC2_17,S_DC2_18,S_DC2_19,S_DC2_20,S_DC2_21,S_DC2_22,S_DC2_23,S_DC2_24,s_r1_1,s_r1_2,s_r1_3,s_r1_4,s_r1_5,s_r1_6,s_r1_7,s_r1_8,s_r1_9,s_r1_10,s_r1_11,s_r1_12,s_r1_13,s_r1_14,s_r1_15,s_r1_16,s_r1_17,s_r1_18,s_r1_19,s_r1_20,s_r1_21,s_r1_22,s_r1_23,s_r1_24,S_r2_1,S_r2_2,S_r2_3,S_r2_4,S_r2_5,S_r2_6,S_r2_7,S_r2_8,S_r2_9,S_r2_10,S_r2_11,S_r2_12,S_r2_13,S_r2_14,S_r2_15,S_r2_16,S_r2_17,S_r2_18,S_r2_19,S_r2_20,S_r2_21,S_r2_22,S_r2_23,S_r2_24,profit
0,26366.0,29860.0,22807.0,19417.0,18882.0,5450.0,17755.0,17004.0,20797.0,29366.0,27660.0,26588.0,21766.0,23476.0,20285.0,23003.0,28746.0,32596.0,18131.0,30179.0,16014.0,24394.0,28336.0,26368.0,59305.0,73270.0,90193.0,53599.0,63418.0,61724.0,53516.0,59111.0,89959.0,74585.0,56434.0,86169.0,58672.0,52058.0,46737.0,71012.0,51925.0,51670.0,50400.0,64164.0,60901.0,63824.0,69526.0,76460.0,175298.0,177427.0,116915.0,179754.0,136962.0,141062.0,127392.0,181049.0,132650.0,180133.0,180743.0,149320.0,121900.0,150368.0,183897.0,173127.0,115253.0,202430.0,115991.0,194845.0,170823.0,126236.0,194336.0,141576.0,59305.0,73270.0,90193.0,53599.0,63418.0,61724.0,53516.0,59111.0,89959.0,74585.0,56434.0,86169.0,58672.0,52058.0,46737.0,71012.0,51925.0,51670.0,50400.0,64164.0,60901.0,63824.0,69526.0,76460.0,175298.0,177427.0,116915.0,179754.0,136962.0,141062.0,127392.0,181049.0,132650.0,180133.0,180743.0,149320.0,121900.0,150368.0,183897.0,173127.0,115253.0,202430.0,115991.0,194845.0,170823.0,126236.0,194336.0,141576.0,59305.0,73270.0,90193.0,53599.0,63418.0,61724.0,53516.0,59111.0,89959.0,74585.0,56434.0,86169.0,58672.0,52058.0,46737.0,71012.0,51925.0,51670.0,50400.0,64164.0,60901.0,63824.0,69526.0,76460.0,175298.0,177427.0,116915.0,179754.0,136962.0,141062.0,127392.0,181049.0,132650.0,180133.0,180743.0,149320.0,121900.0,150368.0,183897.0,173127.0,115253.0,202430.0,115991.0,194845.0,170823.0,126236.0,194336.0,141576.0,175139895.68
1,22329.0,22278.0,22422.0,22750.0,22197.0,22538.0,22316.0,22411.0,22688.0,22593.0,22482.0,22508.0,22501.0,22643.0,22570.0,22723.0,22617.0,22543.0,22505.0,22516.0,22700.0,22752.0,22522.0,22517.0,59305.0,73270.0,90193.0,53599.0,63418.0,61724.0,53516.0,59111.0,89959.0,74585.0,56434.0,86169.0,58672.0,52058.0,46737.0,71012.0,51925.0,51670.0,50400.0,64164.0,60901.0,63824.0,69526.0,76460.0,175298.0,177427.0,116915.0,179754.0,136962.0,141062.0,127392.0,181049.0,132650.0,180133.0,180743.0,149320.0,121900.0,150368.0,183897.0,173127.0,115253.0,202430.0,115991.0,194845.0,170823.0,126236.0,194336.0,141576.0,59305.0,73270.0,90193.0,53599.0,63418.0,61724.0,53516.0,59111.0,89959.0,74585.0,56434.0,86169.0,58672.0,52058.0,46737.0,71012.0,51925.0,51670.0,50400.0,64164.0,60901.0,63824.0,69526.0,76460.0,175298.0,177427.0,116915.0,179754.0,136962.0,141062.0,127392.0,181049.0,132650.0,180133.0,180743.0,149320.0,121900.0,150368.0,183897.0,173127.0,115253.0,202430.0,115991.0,194845.0,170823.0,126236.0,194336.0,141576.0,59305.0,73270.0,90193.0,53599.0,63418.0,61724.0,53516.0,59111.0,89959.0,74585.0,56434.0,86169.0,58672.0,52058.0,46737.0,71012.0,51925.0,51670.0,50400.0,64164.0,60901.0,63824.0,69526.0,76460.0,175298.0,177427.0,116915.0,179754.0,136962.0,141062.0,127392.0,181049.0,132650.0,180133.0,180743.0,149320.0,121900.0,150368.0,183897.0,173127.0,115253.0,202430.0,115991.0,194845.0,170823.0,126236.0,194336.0,141576.0,127248340.275
2,15451.0,15808.0,17997.0,19024.0,17771.0,16330.0,14106.0,15147.0,16397.0,18210.0,10951.0,14312.0,16386.0,14847.0,18593.0,18474.0,22112.0,15771.0,11983.0,14506.0,16684.0,16682.0,9643.0,16486.0,34269.0,55309.0,39328.0,35588.0,36589.0,41698.0,54975.0,62910.0,55997.0,60685.0,61249.0,54750.0,47904.0,54251.0,57487.0,42388.0,33632.0,47311.0,64332.0,58731.0,46600.0,39441.0,60566.0,55644.0,110779.0,100715.0,125327.0,99928.0,138704.0,121523.0,131463.0,117943.0,104354.0,96241.0,131889.0,96023.0,148191.0,105001.0,90475.0,131982.0,146909.0,92772.0,141557.0,101471.0,131675.0,112163.0,88660.0,85385.0,34269.0,55309.0,39328.0,35588.0,36589.0,41698.0,54975.0,62910.0,55997.0,60685.0,61249.0,54750.0,47904.0,54251.0,57487.0,42388.0,33632.0,47311.0,64332.0,58731.0,46600.0,39441.0,60566.0,55644.0,110779.0,100715.0,125327.0,99928.0,138704.0,121523.0,131463.0,117943.0,104354.0,96241.0,131889.0,96023.0,148191.0,105001.0,90475.0,131982.0,146909.0,92772.0,141557.0,101471.0,131675.0,112163.0,88660.0,85385.0,34269.0,55309.0,39328.0,35588.0,36589.0,41698.0,54975.0,62910.0,55997.0,60685.0,61249.0,54750.0,47904.0,54251.0,57487.0,42388.0,33632.0,47311.0,64332.0,58731.0,46600.0,39441.0,60566.0,55644.0,110779.0,100715.0,125327.0,99928.0,138704.0,121523.0,131463.0,117943.0,104354.0,96241.0,131889.0,96023.0,148191.0,105001.0,90475.0,131982.0,146909.0,92772.0,141557.0,101471.0,131675.0,112163.0,88660.0,85385.0,127231102.22
3,16388.0,16488.0,16482.0,16746.0,16742.0,16577.0,16366.0,16443.0,16327.0,16502.0,16619.0,16283.0,16581.0,16423.0,16514.0,16565.0,16424.0,16582.0,16639.0,16488.0,16593.0,16575.0,16794.0,16504.0,34269.0,55309.0,39328.0,35588.0,36589.0,41698.0,54975.0,62910.0,55997.0,60685.0,61249.0,54750.0,47904.0,54251.0,57487.0,42388.0,33632.0,47311.0,64332.0,58731.0,46600.0,39441.0,60566.0,55644.0,110779.0,100715.0,125327.0,99928.0,138704.0,121523.0,131463.0,117943.0,104354.0,96241.0,131889.0,96023.0,148191.0,105001.0,90475.0,131982.0,146909.0,92772.0,141557.0,101471.0,131675.0,112163.0,88660.0,85385.0,34269.0,55309.0,39328.0,35588.0,36589.0,41698.0,54975.0,62910.0,55997.0,60685.0,61249.0,54750.0,47904.0,54251.0,57487.0,42388.0,33632.0,47311.0,64332.0,58731.0,46600.0,39441.0,60566.0,55644.0,110779.0,100715.0,125327.0,99928.0,138704.0,121523.0,131463.0,117943.0,104354.0,96241.0,131889.0,96023.0,148191.0,105001.0,90475.0,131982.0,146909.0,92772.0,141557.0,101471.0,131675.0,112163.0,88660.0,85385.0,34269.0,55309.0,39328.0,35588.0,36589.0,41698.0,54975.0,62910.0,55997.0,60685.0,61249.0,54750.0,47904.0,54251.0,57487.0,42388.0,33632.0,47311.0,64332.0,58731.0,46600.0,39441.0,60566.0,55644.0,110779.0,100715.0,125327.0,99928.0,138704.0,121523.0,131463.0,117943.0,104354.0,96241.0,131889.0,96023.0,148191.0,105001.0,90475.0,131982.0,146909.0,92772.0,141557.0,101471.0,131675.0,112163.0,88660.0,85385.0,113710941.725
4,26064.0,15252.0,9264.0,17328.0,16020.0,22385.0,11588.0,23912.0,34758.0,17861.0,21592.0,28436.0,15227.0,16239.0,15235.0,20658.0,27050.0,18039.0,28336.0,21989.0,25663.0,8939.0,20022.0,24087.0,78131.0,76245.0,46120.0,69825.0,76270.0,54193.0,61073.0,75610.0,76003.0,64024.0,79340.0,61910.0,55624.0,58505.0,59968.0,55828.0,76708.0,74420.0,76481.0,79308.0,59493.0,65881.0,53725.0,55292.0,179446.0,133582.0,167917.0,165899.0,110910.0,147277.0,156706.0,122387.0,179903.0,111178.0,144698.0,107656.0,130429.0,172600.0,180819.0,185887.0,107260.0,169379.0,133554.0,135507.0,178577.0,141825.0,158330.0,130725.0,78131.0,76245.0,46120.0,69825.0,76270.0,54193.0,61073.0,75610.0,76003.0,64024.0,79340.0,61910.0,55624.0,58505.0,59968.0,55828.0,76708.0,74420.0,76481.0,79308.0,59493.0,65881.0,53725.0,55292.0,179446.0,133582.0,167917.0,165899.0,110910.0,147277.0,156706.0,122387.0,179903.0,111178.0,144698.0,107656.0,130429.0,172600.0,180819.0,185887.0,107260.0,169379.0,133554.0,135507.0,178577.0,141825.0,158330.0,130725.0,78131.0,76245.0,46120.0,69825.0,76270.0,54193.0,61073.0,75610.0,76003.0,64024.0,79340.0,61910.0,55624.0,58505.0,59968.0,55828.0,76708.0,74420.0,76481.0,79308.0,59493.0,65881.0,53725.0,55292.0,179446.0,133582.0,167917.0,165899.0,110910.0,147277.0,156706.0,122387.0,179903.0,111178.0,144698.0,107656.0,130429.0,172600.0,180819.0,185887.0,107260.0,169379.0,133554.0,135507.0,178577.0,141825.0,158330.0,130725.0,186613172.72
5,20989.0,20763.0,20815.0,20959.0,20934.0,20795.0,20742.0,21335.0,20912.0,20999.0,20924.0,21003.0,20983.0,21111.0,21200.0,20700.0,20804.0,21284.0,20924.0,20904.0,21045.0,20767.0,20794.0,20987.0,78131.0,76245.0,46120.0,69825.0,76270.0,54193.0,61073.0,75610.0,76003.0,64024.0,79340.0,61910.0,55624.0,58505.0,59968.0,55828.0,76708.0,74420.0,76481.0,79308.0,59493.0,65881.0,53725.0,55292.0,179446.0,133582.0,167917.0,165899.0,110910.0,147277.0,156706.0,122387.0,179903.0,111178.0,144698.0,107656.0,130429.0,172600.0,180819.0,185887.0,107260.0,169379.0,133554.0,135507.0,178577.0,141825.0,158330.0,130725.0,78131.0,76245.0,46120.0,69825.0,76270.0,54193.0,61073.0,75610.0,76003.0,64024.0,79340.0,61910.0,55624.0,58505.0,59968.0,55828.0,76708.0,74420.0,76481.0,79308.0,59493.0,65881.0,53725.0,55292.0,179446.0,133582.0,167917.0,165899.0,110910.0,147277.0,156706.0,122387.0,179903.0,111178.0,144698.0,107656.0,130429.0,172600.0,180819.0,185887.0,107260.0,169379.0,133554.0,135507.0,178577.0,141825.0,158330.0,130725.0,78131.0,76245.0,46120.0,69825.0,76270.0,54193.0,61073.0,75610.0,76003.0,64024.0,79340.0,61910.0,55624.0,58505.0,59968.0,55828.0,76708.0,74420.0,76481.0,79308.0,59493.0,65881.0,53725.0,55292.0,179446.0,133582.0,167917.0,165899.0,110910.0,147277.0,156706.0,122387.0,179903.0,111178.0,144698.0,107656.0,130429.0,172600.0,180819.0,185887.0,107260.0,169379.0,133554.0,135507.0,178577.0,141825.0,158330.0,130725.0,151393375.605
6,14080.0,24186.0,35480.0,12258.0,32572.0,25238.0,25736.0,30087.0,27358.0,35202.0,21861.0,19849.0,25431.0,22087.0,26903.0,35501.0,29323.0,30778.0,32465.0,23206.0,21378.0,46017.0,23947.0,35143.0,108857.0,68659.0,74977.0,60967.0,108035.0,82823.0,62782.0,110132.0,89620.0,81502.0,91833.0,99248.0,75147.0,99735.0,118486.0,97848.0,99436.0,105450.0,80032.0,97426.0,62589.0,98205.0,83032.0,86560.0,214640.0,245432.0,248080.0,248926.0,249134.0,184481.0,175400.0,250710.0,224275.0,242954.0,201042.0,236730.0,196908.0,167146.0,153708.0,259393.0,199370.0,258758.0,237714.0,157737.0,256667.0,174935.0,216569.0,220399.0,108857.0,68659.0,74977.0,60967.0,108035.0,82823.0,62782.0,110132.0,89620.0,81502.0,91833.0,99248.0,75147.0,99735.0,118486.0,97848.0,99436.0,105450.0,80032.0,97426.0,62589.0,98205.0,83032.0,86560.0,214640.0,245432.0,248080.0,248926.0,249134.0,184481.0,175400.0,250710.0,224275.0,242954.0,201042.0,236730.0,196908.0,167146.0,153708.0,259393.0,199370.0,258758.0,237714.0,157737.0,256667.0,174935.0,216569.0,220399.0,108857.0,68659.0,74977.0,60967.0,108035.0,82823.0,62782.0,110132.0,89620.0,81502.0,91833.0,99248.0,75147.0,99735.0,118486.0,97848.0,99436.0,105450.0,80032.0,97426.0,62589.0,98205.0,83032.0,86560.0,214640.0,245432.0,248080.0,248926.0,249134.0,184481.0,175400.0,250710.0,224275.0,242954.0,201042.0,236730.0,196908.0,167146.0,153708.0,259393.0,199370.0,258758.0,237714.0,157737.0,256667.0,174935.0,216569.0,220399.0,275223325.195
7,30041.0,30180.0,29837.0,29759.0,29849.0,29662.0,29822.0,29630.0,29952.0,29791.0,29736.0,29720.0,29643.0,29768.0,29896.0,29687.0,29892.0,29748.0,30018.0,29775.0,29794.0,29811.0,29996.0,30059.0,108857.0,68659.0,74977.0,60967.0,108035.0,82823.0,62782.0,110132.0,89620.0,81502.0,91833.0,99248.0,75147.0,99735.0,118486.0,97848.0,99436.0,105450.0,80032.0,97426.0,62589.0,98205.0,83032.0,86560.0,214640.0,245432.0,248080.0,248926.0,249134.0,184481.0,175400.0,250710.0,224275.0,242954.0,201042.0,236730.0,196908.0,167146.0,153708.0,259393.0,199370.0,258758.0,237714.0,157737.0,256667.0,174935.0,216569.0,220399.0,108857.0,68659.0,74977.0,60967.0,108035.0,82823.0,62782.0,110132.0,89620.0,81502.0,91833.0,99248.0,75147.0,99735.0,118486.0,97848.0,99436.0,105450.0,80032.0,97426.0,62589.0,98205.0,83032.0,86560.0,214640.0,245432.0,248080.0,248926.0,249134.0,184481.0,175400.0,250710.0,224275.0,242954.0,201042.0,236730.0,196908.0,167146.0,153708.0,259393.0,199370.0,258758.0,237714.0,157737.0,256667.0,174935.0,216569.0,220399.0,108857.0,68659.0,74977.0,60967.0,108035.0,82823.0,62782.0,110132.0,89620.0,81502.0,91833.0,99248.0,75147.0,99735.0,118486.0,97848.0,99436.0,105450.0,80032.0,97426.0,62589.0,98205.0,83032.0,86560.0,214640.0,245432.0,248080.0,248926.0,249134.0,184481.0,175400.0,250710.0,224275.0,242954.0,201042.0,236730.0,196908.0,167146.0,153708.0,259393.0,199370.0,258758.0,237714.0,157737.0,256667.0,174935.0,216569.0,220399.0,228794354.97
8,26831.0,18371.0,20705.0,30320.0,19645.0,25039.0,21921.0,29157.0,33080.0,26162.0,26073.0,17498.0,26509.0,16493.0,30557.0,19390.0,24021.0,32150.0,35219.0,17604.0,14545.0,40429.0,22665.0,26413.0,56793.0,84421.0,69903.0,79119.0,97206.0,69632.0,87714.0,69131.0,103762.0,66435.0,76541.0,103037.0,105452.0,76359.0,109595.0,77909.0,61365.0,67320.0,66622.0,67477.0,104163.0,94764.0,83579.0,71614.0,206418.0,240477.0,218268.0,224191.0,160990.0,249251.0,187556.0,169586.0,205900.0,165877.0,186069.0,225066.0,228669.0,183765.0,222446.0,155955.0,204362.0,204105.0,155920.0,170994.0,157586.0,227671.0,203492.0,202498.0,56793.0,84421.0,69903.0,79119.0,97206.0,69632.0,87714.0,69131.0,103762.0,66435.0,76541.0,103037.0,105452.0,76359.0,109595.0,77909.0,61365.0,67320.0,66622.0,67477.0,104163.0,94764.0,83579.0,71614.0,206418.0,240477.0,218268.0,224191.0,160990.0,249251.0,187556.0,169586.0,205900.0,165877.0,186069.0,225066.0,228669.0,183765.0,222446.0,155955.0,204362.0,204105.0,155920.0,170994.0,157586.0,227671.0,203492.0,202498.0,56793.0,84421.0,69903.0,79119.0,97206.0,69632.0,87714.0,69131.0,103762.0,66435.0,76541.0,103037.0,105452.0,76359.0,109595.0,77909.0,61365.0,67320.0,66622.0,67477.0,104163.0,94764.0,83579.0,71614.0,206418.0,240477.0,218268.0,224191.0,160990.0,249251.0,187556.0,169586.0,205900.0,165877.0,186069.0,225066.0,228669.0,183765.0,222446.0,155955.0,204362.0,204105.0,155920.0,170994.0,157586.0,227671.0,203492.0,202498.0,236246820.71
9,28334.0,28076.0,28105.0,27800.0,28174.0,28196.0,28125.0,28129.0,28203.0,28136.0,27938.0,28100.0,28335.0,28044.0,28280.0,28199.0,28119.0,28004.0,28190.0,27922.0,28384.0,28205.0,27757.0,28377.0,56793.0,84421.0,69903.0,79119.0,97206.0,69632.0,87714.0,69131.0,103762.0,66435.0,76541.0,103037.0,105452.0,76359.0,109595.0,77909.0,61365.0,67320.0,66622.0,67477.0,104163.0,94764.0,83579.0,71614.0,206418.0,240477.0,218268.0,224191.0,160990.0,249251.0,187556.0,169586.0,205900.0,165877.0,186069.0,225066.0,228669.0,183765.0,222446.0,155955.0,204362.0,204105.0,155920.0,170994.0,157586.0,227671.0,203492.0,202498.0,56793.0,84421.0,69903.0,79119.0,97206.0,69632.0,87714.0,69131.0,103762.0,66435.0,76541.0,103037.0,105452.0,76359.0,109595.0,77909.0,61365.0,67320.0,66622.0,67477.0,104163.0,94764.0,83579.0,71614.0,206418.0,240477.0,218268.0,224191.0,160990.0,249251.0,187556.0,169586.0,205900.0,165877.0,186069.0,225066.0,228669.0,183765.0,222446.0,155955.0,204362.0,204105.0,155920.0,170994.0,157586.0,227671.0,203492.0,202498.0,56793.0,84421.0,69903.0,79119.0,97206.0,69632.0,87714.0,69131.0,103762.0,66435.0,76541.0,103037.0,105452.0,76359.0,109595.0,77909.0,61365.0,67320.0,66622.0,67477.0,104163.0,94764.0,83579.0,71614.0,206418.0,240477.0,218268.0,224191.0,160990.0,249251.0,187556.0,169586.0,205900.0,165877.0,186069.0,225066.0,228669.0,183765.0,222446.0,155955.0,204362.0,204105.0,155920.0,170994.0,157586.0,227671.0,203492.0,202498.0,191963601.085
