,mean,std,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
0,13.289916666666663,0.4474912398273535,28.0,92.0,46.0,96.0,31.0,36.0,73542.45399999998
1,13.289916666666663,0.4474912398273535,92.0,128.0,109.0,113.0,53.0,70.0,46868.99759999999
2,13.289916666666663,0.4474912398273535,53.0,126.0,57.0,76.0,52.0,54.0,66741.2988
3,13.289916666666663,0.4474912398273535,110.0,127.0,27.0,49.0,107.0,132.0,21896.105999999974
4,13.289916666666663,0.4474912398273535,79.0,108.0,55.0,117.0,51.0,133.0,28496.514399999993
5,13.289916666666663,0.4474912398273535,33.0,72.0,42.0,87.0,80.0,120.0,43699.84479999999
6,13.289916666666663,0.4474912398273535,70.0,118.0,65.0,67.0,35.0,84.0,54723.73800000001
7,13.289916666666663,0.4474912398273535,27.0,104.0,57.0,108.0,102.0,106.0,39235.817599999966
8,13.289916666666663,0.4474912398273535,101.0,105.0,42.0,85.0,52.0,83.0,55743.03319999999
9,13.289916666666663,0.4474912398273535,46.0,123.0,53.0,115.0,35.0,87.0,50372.2688
10,13.289916666666663,0.4474912398273535,124.0,131.0,39.0,118.0,73.0,89.0,35169.53079999998
11,13.289916666666663,0.4474912398273535,44.0,126.0,84.0,123.0,35.0,52.0,63386.136
12,13.289916666666663,0.4474912398273535,36.0,45.0,115.0,125.0,51.0,114.0,48886.072399999975
13,13.289916666666663,0.4474912398273535,91.0,113.0,61.0,124.0,32.0,79.0,52860.85360000001
14,13.289916666666663,0.4474912398273535,103.0,106.0,58.0,89.0,52.0,102.0,42780.747200000005
15,13.289916666666663,0.4474912398273535,55.0,78.0,56.0,86.0,100.0,108.0,45100.5676
16,13.289916666666663,0.4474912398273535,54.0,72.0,38.0,117.0,49.0,132.0,39253.43800000006
17,13.289916666666663,0.4474912398273535,98.0,108.0,38.0,58.0,68.0,112.0,42069.43560000003
18,13.289916666666663,0.4474912398273535,67.0,108.0,36.0,119.0,55.0,97.0,44372.323599999996
19,13.289916666666663,0.4474912398273535,87.0,119.0,53.0,97.0,115.0,116.0,27975.116399999984
20,13.289916666666663,0.4474912398273535,35.0,65.0,42.0,58.0,37.0,56.0,85659.72399999996
21,13.289916666666663,0.4474912398273535,67.0,104.0,82.0,103.0,45.0,89.0,48689.30720000002
22,13.289916666666663,0.4474912398273535,118.0,121.0,71.0,107.0,33.0,61.0,53785.979999999974
23,13.289916666666663,0.4474912398273535,93.0,120.0,29.0,93.0,69.0,95.0,41561.93520000004
24,13.289916666666663,0.4474912398273535,69.0,98.0,69.0,113.0,93.0,113.0,29106.4536
25,13.289916666666663,0.4474912398273535,42.0,92.0,117.0,128.0,48.0,75.0,57542.78559999998
26,13.289916666666663,0.4474912398273535,31.0,131.0,35.0,81.0,41.0,125.0,34853.652399999984
27,13.289916666666663,0.4474912398273535,105.0,132.0,65.0,124.0,81.0,112.0,20283.552399999993
28,13.289916666666663,0.4474912398273535,107.0,110.0,117.0,127.0,62.0,86.0,35327.71080000003
29,13.289916666666663,0.4474912398273535,68.0,78.0,66.0,99.0,27.0,29.0,78068.54400000002
30,13.289916666666663,0.4474912398273535,72.0,117.0,74.0,111.0,80.0,123.0,20786.99960000001
