,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17,month18,month19,month20,month21,month22,month23,month24,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
0,25187.0,25207.0,18337.0,25542.0,22807.0,15017.0,18108.0,15759.0,27655.0,16826.0,26562.0,19628.0,30251.0,15924.0,17819.0,23942.0,17943.0,25537.0,26702.0,19453.0,25807.0,20034.0,17750.0,14321.0,74481.0,153841.0,80688.0,117915.0,89052.0,159561.0,297688519.98
1,22348.0,22455.0,22744.0,22688.0,22684.0,22446.0,22629.0,22615.0,22577.0,22355.0,22379.0,22563.0,22884.0,22446.0,22624.0,22478.0,22760.0,22646.0,22809.0,22346.0,22481.0,22462.0,22436.0,22602.0,70232.0,121399.0,63008.0,170674.0,69441.0,120525.0,115545086.765
2,10244.0,18361.0,10632.0,15168.0,13676.0,16589.0,17714.0,15954.0,15832.0,17462.0,17204.0,19996.0,22448.0,17165.0,12467.0,15005.0,18814.0,14610.0,15450.0,13919.0,18184.0,13921.0,16353.0,15897.0,33681.0,83514.0,41398.0,105124.0,51213.0,98130.0,193505555.04
3,16401.0,16569.0,16274.0,16426.0,16484.0,16448.0,16426.0,16398.0,16417.0,16519.0,16527.0,16580.0,16379.0,16476.0,16338.0,16672.0,16432.0,16587.0,16532.0,16647.0,16306.0,16297.0,16452.0,16654.0,50599.0,127677.0,54157.0,128502.0,51572.0,121247.0,132197431.1
4,19755.0,29720.0,25621.0,18181.0,21087.0,29327.0,11368.0,19964.0,20578.0,20618.0,23739.0,25859.0,39829.0,12206.0,22288.0,9408.0,16320.0,25200.0,24922.0,23580.0,22449.0,19137.0,2758.0,24809.0,53249.0,129041.0,44191.0,135630.0,73965.0,136246.0,269774241.59
5,21005.0,20831.0,21071.0,21288.0,21136.0,21107.0,21188.0,21108.0,20989.0,21018.0,20837.0,21081.0,21106.0,20956.0,20859.0,20778.0,20837.0,21060.0,21331.0,20732.0,20793.0,20881.0,20941.0,20825.0,73083.0,153950.0,56949.0,127381.0,68969.0,157933.0,136393623.28
6,25662.0,13955.0,33616.0,26136.0,27183.0,29099.0,30037.0,42039.0,39598.0,28152.0,22981.0,30861.0,28884.0,37675.0,22661.0,10140.0,36837.0,28292.0,35869.0,22982.0,22922.0,26489.0,22709.0,22349.0,96563.0,181297.0,87688.0,159542.0,88889.0,233005.0,366365986.73
7,29505.0,29956.0,30066.0,30052.0,29915.0,30050.0,29918.0,29939.0,29847.0,29851.0,30138.0,29663.0,29672.0,29784.0,30111.0,29696.0,29737.0,29521.0,29809.0,29883.0,29584.0,30190.0,29671.0,29853.0,95263.0,169504.0,107079.0,234221.0,107259.0,163204.0,181476867.555
8,17457.0,25677.0,29138.0,27152.0,36671.0,28300.0,31703.0,25317.0,33366.0,29908.0,39486.0,37040.0,29705.0,26043.0,22629.0,31347.0,36460.0,33924.0,36209.0,25553.0,42841.0,28899.0,37982.0,39853.0,106662.0,185273.0,93624.0,191552.0,85030.0,219025.0,342276720.84
9,27924.0,28337.0,27601.0,27766.0,28163.0,28352.0,27940.0,28124.0,28013.0,28145.0,28036.0,28264.0,28338.0,28098.0,28134.0,28143.0,27950.0,28120.0,28261.0,28296.0,28273.0,28043.0,28251.0,28013.0,78662.0,172117.0,96350.0,190045.0,61005.0,184750.0,143137047.735
