,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
0,32900,21100,17000,23000,21800,25300,18400,29600,16100,32900,14000,18700,73424,179374,47893,126098,72215,175298,96028136
1,22200,23400,11700,14600,16900,18100,14800,17900,15900,14200,13600,14800,39162,100162,52444,131132,51543,100791,37697486
2,24800,30600,25300,33500,20700,19300,13600,13700,19100,14900,11400,24600,46869,132132,56776,136019,58632,138383,93304254
3,30800,18900,30200,54900,18000,29600,31500,21600,36600,31300,22900,32100,117100,214520,91820,214173,83037,163768,216715668
4,27400,29800,18400,40700,28800,39300,20200,24300,27100,30100,32000,18800,100758,186550,83542,218714,81891,169213,141897676
5,76000,107000,104000,65000,97000,95000,59000,73000,59000,111000,99000,67000,230618,584459,258249,652236,245384,638018,497457866
6,78000,130000,93000,57000,96000,97000,74000,79000,58000,78000,100000,47000,252535,653523,226386,458136,250371,437910,367421193
7,102000,142000,75000,98000,110000,82000,88000,77000,86000,77000,115000,84000,340800,659860,309635,701571,251199,728723,628584295
8,58000,87000,73000,75000,98000,111000,95000,61000,84000,110000,41000,61000,203718,615696,249507,417716,272751,544622,423162835
9,64000,33000,63000,77000,60000,85000,21000,55000,58000,80000,54000,53000,218341,433648,184316,342361,173037,422897,401150636
10,54400,90600,82300,60800,80800,95900,74900,60100,88800,78500,66800,70800,209605,425638,195209,493226,291514,453118,436592307
11,59200,96400,45100,82000,81500,61100,44400,74000,58600,84400,59300,64200,183482,401177,266252,526860,250159,526485,433633624
12,73300,73500,67300,40200,57100,87300,42100,47000,84500,62800,47700,33600,199663,397513,229086,407946,127750,307454,202278131
13,85900,87500,37900,74900,55000,102400,71300,34100,78900,73900,47000,57200,196769,478164,246511,431442,169498,429121,87931515
14,51300,73000,85100,54800,75300,90000,36200,52300,56000,69500,60400,49600,223516,439131,209149,400634,132017,405724,242983888
15,10000,11000,9500,8400,9700,15000,6700,8300,7600,12300,7700,7900,24493,54984,25011,61925,33400,53617,67593373
16,11700,12300,15900,9900,17200,6500,8600,7100,16200,11600,6700,16000,29122,59377,30205,66332,43238,68690,54362525
17,10700,15700,8900,10800,10800,17600,5000,6100,6300,14400,8500,13400,37719,73313,25433,66591,22102,74556,39957286
18,7600,15900,14100,4500,7700,7300,10500,4700,11500,12300,7000,9900,21460,52923,36878,66070,24063,74607,56014117
19,5600,6500,8700,6500,12600,14100,7200,8200,5500,2600,6000,11100,29328,43151,26972,41467,19354,39862,31459977
20,35300,64700,53900,33300,67000,73500,55400,41300,60000,44700,41800,41500,127250,328126,197093,406950,160009,392465,295265778
21,36100,57400,41200,59100,41500,57200,44900,48800,33200,53200,42700,42500,115681,356963,122919,240522,150833,286984,169430234
22,39000,72500,45600,55700,58400,70700,29700,51900,62000,46900,32900,49600,204434,331137,116850,315556,148129,275257,158762408
23,60800,51600,37600,71800,67700,52200,50200,47600,40500,109200,22600,52000,172510,336869,133956,277044,122251,295828,209882283
24,49800,43000,46200,48900,59400,77800,40100,40400,50400,51700,53300,37600,154445,296871,111466,269442,108085,383917,330646053
25,16200,9700,2900,4700,10800,3400,3000,5000,4600,4300,5700,3200,15799,46879,18793,43776,15551,39391,30993523
26,9400,8400,6200,17000,17500,6100,7800,6100,6800,7900,4500,5400,33784,68573,21539,65845,19819,50650,43467072
27,6100,13500,9800,12200,9500,12100,8400,5800,2900,14600,11000,11700,32559,59670,27101,62524,29660,63730,47193425
28,9500,18400,5100,5400,13900,16200,6000,21300,13100,16200,5100,9700,34639,82765,42752,67356,32092,80193,62522592
29,9400,13200,14500,8400,8300,21100,16800,3900,5500,7100,7500,6800,24420,55757,37298,74298,25169,68070,65931486
30,21700,23600,20000,20900,28200,17600,27100,22300,18600,23800,18500,19900,46693,133730,45254,152570,81741,121904,59677186
31,15900,21700,20100,12200,23900,20000,18400,31500,20900,15500,21200,15100,64854,150743,49984,100709,70787,129505,119355976
32,17600,24900,31300,39300,26300,21300,23300,19200,14100,22800,16200,18500,49762,147516,53899,168095,88703,159665,153934441
33,21400,12100,19300,38600,31600,28600,29300,24700,30800,31000,27700,9500,63186,162722,95896,141595,62737,180569,116525006
34,49800,39700,13400,36800,22500,22200,17600,21500,13500,28400,25100,17300,65665,178717,74085,160261,73704,199249,123754018
35,99000,108000,57000,80000,100500,105500,104500,94500,159000,121000,73000,128000,406378,609003,268174,745487,357445,636922,638540978
36,141000,92500,56000,162000,80000,104500,67500,80000,81500,151000,94500,104500,306940,728812,400613,686154,386372,806605,657824052
37,66500,202500,93500,81000,57000,132000,92500,145000,116000,177000,133000,163500,362275,923057,377424,833419,343209,833216,232893397
38,184500,73500,83000,105500,108500,82500,82500,93000,132500,82500,75500,169000,264406,734906,303939,608937,237072,828503,504083200
39,122000,85000,109500,54000,46000,152000,123500,117000,80000,66500,64500,68000,211312,558714,197241,560196,258998,609326,479209606
40,17400,26100,20300,15300,12400,18100,13500,9700,16500,22000,21900,6200,50703,100973,39995,100732,46470,132849,40417939
41,25000,18900,11800,26200,11200,19700,15700,15400,4600,16000,16300,22100,53023,105059,46617,86635,48815,123543,66980830
42,17300,21500,16700,19400,15700,20700,20800,10900,14400,19500,9700,14300,47327,96016,58602,99078,42348,115237,100789122
43,8400,15600,13100,6700,17200,17000,32500,13100,8800,14600,28400,21300,39009,125045,33787,114872,32953,109851,99022273
44,18500,17700,13400,13800,10000,18900,8600,13800,15000,17600,15000,18400,58408,95410,33670,89414,43753,109779,47665570
