,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1_1,s_DC1_2,s_DC1_3,s_DC1_4,s_DC1_5,s_DC1_6,s_DC1_7,s_DC1_8,s_DC1_9,s_DC1_10,s_DC1_11,s_DC1_12,S_DC1_1,S_DC1_2,S_DC1_3,S_DC1_4,S_DC1_5,S_DC1_6,S_DC1_7,S_DC1_8,S_DC1_9,S_DC1_10,S_DC1_11,S_DC1_12,s_DC2_1,s_DC2_2,s_DC2_3,s_DC2_4,s_DC2_5,s_DC2_6,s_DC2_7,s_DC2_8,s_DC2_9,s_DC2_10,s_DC2_11,s_DC2_12,S_DC2_1,S_DC2_2,S_DC2_3,S_DC2_4,S_DC2_5,S_DC2_6,S_DC2_7,S_DC2_8,S_DC2_9,S_DC2_10,S_DC2_11,S_DC2_12,s_r1_1,s_r1_2,s_r1_3,s_r1_4,s_r1_5,s_r1_6,s_r1_7,s_r1_8,s_r1_9,s_r1_10,s_r1_11,s_r1_12,S_r2_1,S_r2_2,S_r2_3,S_r2_4,S_r2_5,S_r2_6,S_r2_7,S_r2_8,S_r2_9,S_r2_10,S_r2_11,S_r2_12,profit
0,32900,21100,17000,23000,21800,25300,18400,29600,16100,32900,14000,18700,87766,50122,83977,79861,61948,81394,54201,67145,74634,53470,62547,60170,182235,153601,169720,196962,178243,113220,169304,179861,139596,200282,120712,131496,87766,50122,83977,79861,61948,81394,54201,67145,74634,53470,62547,60170,182235,153601,169720,196962,178243,113220,169304,179861,139596,200282,120712,131496,87766,50122,83977,79861,61948,81394,54201,67145,74634,53470,62547,60170,182235,153601,169720,196962,178243,113220,169304,179861,139596,200282,120712,131496,100021935
1,22200,23400,11700,14600,16900,18100,14800,17900,15900,14200,13600,14800,60693,54144,45300,42927,53225,41465,37237,37980,34456,59522,61349,58978,96940,142032,136331,91781,119931,111315,108836,95765,146637,93501,112525,92942,60693,54144,45300,42927,53225,41465,37237,37980,34456,59522,61349,58978,96940,142032,136331,91781,119931,111315,108836,95765,146637,93501,112525,92942,60693,54144,45300,42927,53225,41465,37237,37980,34456,59522,61349,58978,96940,142032,136331,91781,119931,111315,108836,95765,146637,93501,112525,92942,43927720
2,24800,30600,25300,33500,20700,19300,13600,13700,19100,14900,11400,24600,42391,65953,42668,48724,47351,45528,78760,51140,56777,42831,82688,66056,114523,110633,160702,153407,161555,161289,128430,136504,178399,118993,178428,149908,42391,65953,42668,48724,47351,45528,78760,51140,56777,42831,82688,66056,114523,110633,160702,153407,161555,161289,128430,136504,178399,118993,178428,149908,42391,65953,42668,48724,47351,45528,78760,51140,56777,42831,82688,66056,114523,110633,160702,153407,161555,161289,128430,136504,178399,118993,178428,149908,93498841
3,30800,18900,30200,54900,18000,29600,31500,21600,36600,31300,22900,32100,69463,90233,110550,96800,75329,84544,104780,62962,88997,101682,93432,69412,244733,175889,157343,220156,201875,260168,202830,256686,225674,193074,197445,167139,69463,90233,110550,96800,75329,84544,104780,62962,88997,101682,93432,69412,244733,175889,157343,220156,201875,260168,202830,256686,225674,193074,197445,167139,69463,90233,110550,96800,75329,84544,104780,62962,88997,101682,93432,69412,244733,175889,157343,220156,201875,260168,202830,256686,225674,193074,197445,167139,192253674
4,27400,29800,18400,40700,28800,39300,20200,24300,27100,30100,32000,18800,101755,110049,87326,90389,77462,87055,60761,75134,84526,57721,108006,88832,206683,232243,225625,185110,144479,164591,162611,230093,209966,188162,142559,180962,101755,110049,87326,90389,77462,87055,60761,75134,84526,57721,108006,88832,206683,232243,225625,185110,144479,164591,162611,230093,209966,188162,142559,180962,101755,110049,87326,90389,77462,87055,60761,75134,84526,57721,108006,88832,206683,232243,225625,185110,144479,164591,162611,230093,209966,188162,142559,180962,121214895
5,76000,107000,104000,65000,97000,95000,59000,73000,59000,111000,99000,67000,300435,332140,258291,318481,273165,264026,311662,189783,181659,313318,171046,222109,518766,521060,424418,629051,530303,718739,652570,649361,748563,617001,758023,637455,300435,332140,258291,318481,273165,264026,311662,189783,181659,313318,171046,222109,518766,521060,424418,629051,530303,718739,652570,649361,748563,617001,758023,637455,300435,332140,258291,318481,273165,264026,311662,189783,181659,313318,171046,222109,518766,521060,424418,629051,530303,718739,652570,649361,748563,617001,758023,637455,428539406
6,78000,130000,93000,57000,96000,97000,74000,79000,58000,78000,100000,47000,181675,210199,242284,252859,286336,261324,219571,257467,245896,237164,191857,256114,624966,625498,427229,589666,594293,419403,634690,547552,426251,659292,650344,567500,181675,210199,242284,252859,286336,261324,219571,257467,245896,237164,191857,256114,624966,625498,427229,589666,594293,419403,634690,547552,426251,659292,650344,567500,181675,210199,242284,252859,286336,261324,219571,257467,245896,237164,191857,256114,624966,625498,427229,589666,594293,419403,634690,547552,426251,659292,650344,567500,37445841
7,102000,142000,75000,98000,110000,82000,88000,77000,86000,77000,115000,84000,333155,265918,192308,231582,232644,217014,326402,303884,354491,263284,274605,256466,585741,663256,808398,486781,620684,534522,573607,581542,598618,590973,692425,797695,333155,265918,192308,231582,232644,217014,326402,303884,354491,263284,274605,256466,585741,663256,808398,486781,620684,534522,573607,581542,598618,590973,692425,797695,333155,265918,192308,231582,232644,217014,326402,303884,354491,263284,274605,256466,585741,663256,808398,486781,620684,534522,573607,581542,598618,590973,692425,797695,206930816
8,58000,87000,73000,75000,98000,111000,95000,61000,84000,110000,41000,61000,258298,177402,180267,211226,281020,257703,307310,164307,273419,177056,161941,287896,685094,617757,561206,597192,569346,689878,517244,428369,441553,610269,582645,490513,258298,177402,180267,211226,281020,257703,307310,164307,273419,177056,161941,287896,685094,617757,561206,597192,569346,689878,517244,428369,441553,610269,582645,490513,258298,177402,180267,211226,281020,257703,307310,164307,273419,177056,161941,287896,685094,617757,561206,597192,569346,689878,517244,428369,441553,610269,582645,490513,367986219
9,64000,33000,63000,77000,60000,85000,21000,55000,58000,80000,54000,53000,232282,172136,129579,151713,122449,175677,167753,132652,152723,126941,138717,151395,440885,362995,464411,317469,331067,378289,397469,306400,435462,318214,478553,312152,232282,172136,129579,151713,122449,175677,167753,132652,152723,126941,138717,151395,440885,362995,464411,317469,331067,378289,397469,306400,435462,318214,478553,312152,232282,172136,129579,151713,122449,175677,167753,132652,152723,126941,138717,151395,440885,362995,464411,317469,331067,378289,397469,306400,435462,318214,478553,312152,282531724
10,54400,90600,82300,60800,80800,95900,74900,60100,88800,78500,66800,70800,261897,186026,260299,205935,282246,163311,173766,298216,206903,154480,168541,219027,623311,436818,592034,427572,608338,643703,475886,647758,390895,591819,560926,580993,261897,186026,260299,205935,282246,163311,173766,298216,206903,154480,168541,219027,623311,436818,592034,427572,608338,643703,475886,647758,390895,591819,560926,580993,261897,186026,260299,205935,282246,163311,173766,298216,206903,154480,168541,219027,623311,436818,592034,427572,608338,643703,475886,647758,390895,591819,560926,580993,371071759
11,59200,96400,45100,82000,81500,61100,44400,74000,58600,84400,59300,64200,225880,195274,210915,188838,247880,168509,145461,148442,139880,138881,178204,197157,462072,494268,498338,408045,402478,594653,566803,459755,505630,541269,550102,540615,225880,195274,210915,188838,247880,168509,145461,148442,139880,138881,178204,197157,462072,494268,498338,408045,402478,594653,566803,459755,505630,541269,550102,540615,225880,195274,210915,188838,247880,168509,145461,148442,139880,138881,178204,197157,462072,494268,498338,408045,402478,594653,566803,459755,505630,541269,550102,540615,375347948
12,73300,73500,67300,40200,57100,87300,42100,47000,84500,62800,47700,33600,188114,191533,204120,202967,119670,179348,135338,131765,178753,190015,160067,236741,378810,310160,510314,501376,488032,312058,466444,535719,430605,493865,341816,393049,188114,191533,204120,202967,119670,179348,135338,131765,178753,190015,160067,236741,378810,310160,510314,501376,488032,312058,466444,535719,430605,493865,341816,393049,188114,191533,204120,202967,119670,179348,135338,131765,178753,190015,160067,236741,378810,310160,510314,501376,488032,312058,466444,535719,430605,493865,341816,393049,334274805
13,85900,87500,37900,74900,55000,102400,71300,34100,78900,73900,47000,57200,262977,181144,185525,266400,232121,266380,159444,209575,153174,197199,235244,151832,367209,538440,407644,402736,514311,585473,404375,389866,465270,567632,554633,545476,262977,181144,185525,266400,232121,266380,159444,209575,153174,197199,235244,151832,367209,538440,407644,402736,514311,585473,404375,389866,465270,567632,554633,545476,262977,181144,185525,266400,232121,266380,159444,209575,153174,197199,235244,151832,367209,538440,407644,402736,514311,585473,404375,389866,465270,567632,554633,545476,477284595
14,51300,73000,85100,54800,75300,90000,36200,52300,56000,69500,60400,49600,187420,216720,133971,234445,161634,147005,187846,144325,210189,195789,178192,191310,315035,328450,553768,491445,370396,349337,334292,559767,557807,544177,545821,406748,187420,216720,133971,234445,161634,147005,187846,144325,210189,195789,178192,191310,315035,328450,553768,491445,370396,349337,334292,559767,557807,544177,545821,406748,187420,216720,133971,234445,161634,147005,187846,144325,210189,195789,178192,191310,315035,328450,553768,491445,370396,349337,334292,559767,557807,544177,545821,406748,197369568
15,10000,11000,9500,8400,9700,15000,6700,8300,7600,12300,7700,7900,33559,19351,30289,24294,20350,35944,24026,30273,27163,25513,33656,32116,53821,75223,81552,53105,66369,67422,73464,82339,80072,60174,83677,63199,33559,19351,30289,24294,20350,35944,24026,30273,27163,25513,33656,32116,53821,75223,81552,53105,66369,67422,73464,82339,80072,60174,83677,63199,33559,19351,30289,24294,20350,35944,24026,30273,27163,25513,33656,32116,53821,75223,81552,53105,66369,67422,73464,82339,80072,60174,83677,63199,58673596
16,11700,12300,15900,9900,17200,6500,8600,7100,16200,11600,6700,16000,31957,36571,41796,25135,43734,38583,24828,46195,26539,41443,40451,45149,70455,104085,65015,69709,89408,100361,102264,61834,91120,96795,102952,58977,31957,36571,41796,25135,43734,38583,24828,46195,26539,41443,40451,45149,70455,104085,65015,69709,89408,100361,102264,61834,91120,96795,102952,58977,31957,36571,41796,25135,43734,38583,24828,46195,26539,41443,40451,45149,70455,104085,65015,69709,89408,100361,102264,61834,91120,96795,102952,58977,32814674
