,RL_no_season,RL_no_season_24,RL_poisson_no_season,RL_no_season_poisson_lead_time,RL_poisson_no_season_poisson_lead_time
0,105783.66666666664,24808.333333333336,98062.33333333333,99154.33333333334,102116.0
1,103935.00000000001,23412.333333333336,101071.66666666664,94206.66666666667,92265.66666666666
2,105677.66666666664,22988.333333333347,91494.33333333334,97794.0,94363.00000000004
3,97120.33333333331,22436.66666666667,100707.33333333339,93080.33333333333,106426.33333333336
4,105749.33333333331,23803.000000000007,101467.33333333333,93589.33333333334,96959.99999999999
5,108067.0,24120.666666666668,99129.66666666669,82176.33333333334,102485.66666666669
6,97555.33333333337,23955.333333333336,106103.00000000001,103584.33333333337,98617.99999999997
7,105854.33333333336,22415.00000000001,102583.33333333334,101075.33333333333,110640.6666666667
8,107455.66666666663,22432.333333333336,101746.66666666666,99952.66666666669,93067.00000000004
9,109360.6666666667,23651.33333333334,97896.33333333331,87963.33333333334,95494.0
10,104099.33333333331,24169.000000000004,97298.0,100064.33333333334,88639.66666666666
11,102586.0,21240.33333333334,100244.66666666667,89832.66666666669,94515.33333333334
12,108347.33333333336,24066.33333333334,106750.00000000001,99699.0,96459.00000000001
13,104522.33333333333,24139.333333333336,105679.00000000006,105597.66666666664,101453.66666666664
14,106484.0,21486.333333333343,104657.33333333333,102851.33333333343,102950.66666666669
15,104191.33333333334,25537.33333333334,106180.33333333333,102449.33333333331,111410.00000000001
16,108183.33333333333,22075.0,98971.99999999999,104199.33333333334,75108.00000000001
17,94072.0,21846.000000000004,108173.66666666666,81528.6666666667,81319.33333333336
18,105599.33333333337,23213.666666666668,102074.0,87728.33333333337,96904.33333333333
19,104098.00000000001,22775.000000000004,100929.00000000003,97238.33333333333,81485.33333333334
20,106515.33333333331,22450.333333333332,108761.66666666672,101350.66666666669,91297.0
21,108011.0,22419.333333333336,104483.66666666664,105234.33333333336,104094.00000000001
22,104467.0,21800.000000000004,105527.99999999999,90084.99999999997,86890.00000000006
23,97796.00000000003,21873.000000000004,99021.66666666667,91643.33333333336,87272.99999999999
24,101433.66666666669,23636.000000000007,102940.33333333334,99740.0,98336.66666666666
25,107133.6666666667,24398.0,102804.66666666669,108253.66666666666,105213.33333333333
26,108364.66666666667,25479.666666666675,108155.66666666672,105922.0,97504.6666666667
27,105845.33333333333,21363.66666666667,99136.33333333333,101394.99999999999,102134.66666666669
28,105172.66666666666,21952.666666666668,107055.66666666667,105077.66666666669,101323.00000000001
29,104304.66666666664,22186.66666666667,104508.66666666669,95146.00000000001,96810.99999999997
30,104719.66666666667,24862.000000000004,102530.66666666667,94063.00000000001,63577.6666666667
31,105269.33333333331,25191.333333333332,107006.33333333333,95149.66666666664,102420.66666666663
32,106031.33333333336,20125.66666666667,94360.33333333339,102313.66666666667,96054.33333333336
33,76319.33333333334,22534.333333333336,106143.99999999997,97807.33333333333,107232.00000000006
34,106622.99999999996,23616.66666666668,93215.66666666669,107036.33333333333,93216.0
35,106948.66666666669,22285.33333333334,93823.66666666664,100666.99999999994,103401.6666666667
36,103486.99999999999,23009.333333333343,105427.6666666667,98836.66666666664,86173.66666666672
37,106419.6666666667,22642.666666666668,100720.00000000006,75913.00000000004,97487.66666666667
38,105554.99999999997,21496.66666666667,92374.33333333333,93767.6666666667,101204.66666666669
39,106543.33333333336,23665.666666666675,110647.33333333331,91553.33333333334,107151.00000000001
40,92517.6666666667,24255.666666666675,103962.66666666664,90098.00000000001,85355.33333333334
41,100475.33333333337,22560.33333333334,99269.33333333334,103178.00000000003,93957.33333333334
42,107677.66666666666,22945.000000000004,106244.0,100270.66666666666,90672.33333333333
43,109688.66666666664,23305.666666666675,99355.00000000001,101969.33333333334,101764.33333333337
44,104305.99999999999,23310.66666666667,104235.00000000001,103727.00000000003,63410.00000000004
45,102470.33333333333,23016.666666666668,107079.00000000001,95906.33333333334,97654.33333333339
46,102806.33333333336,23403.000000000007,104685.66666666664,87779.0,104875.00000000003
47,104348.33333333334,22505.000000000007,96607.00000000001,100456.33333333333,96832.0
48,104234.00000000001,25102.666666666675,101552.66666666666,102399.66666666664,96152.00000000001
49,94154.33333333336,22183.00000000001,96369.33333333336,103528.66666666664,72895.0
50,107445.66666666669,23852.666666666668,110202.66666666669,97510.00000000004,103706.6666666667
51,108293.66666666667,22507.33333333334,112099.66666666669,101104.33333333339,100486.99999999997
52,108571.99999999999,25010.000000000007,105845.33333333334,101742.33333333334,86116.00000000006
