,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,12.814,14.396,13.704,15.061,14.439,11.282,10.285,10.865,14.21,15.563,16.06,12.414,16.083,15.372,16.308,11.829,12.591,13.457,15.379,14.801,14.812,15.682,14.789,16.593,18.635,17.652,16.523,16.708,16.695,16.889,18.081,16.896,15.705,9.786,10.893,12.806,14.395,15.813,15.614,16.912,18.07,17.654,17.508,17.291,17.314,17.327,15.55
1,13.34,14.709,14.363,15.321,13.276,12.351,10.924,10.608,14.381,15.724,15.371,15.109,16.513,14.991,14.363,12.409,12.927,12.969,15.52,14.861,15.587,15.271,15.232,17.097,19.401,17.826,17.304,16.114,17.032,16.886,17.071,17.169,15.491,9.223,10.315,13.081,14.975,15.861,15.993,16.895,18.08,17.702,17.461,16.968,17.061,16.106,14.166
2,13.378,15.17,15.166,15.275,12.077,12.427,10.651,11.023,14.21,15.358,14.161,15.299,16.182,14.662,14.486,12.848,12.824,13.326,15.301,15.256,16.044,15.816,15.405,16.832,18.343,17.248,17.107,16.467,17.247,17.413,16.96,16.438,15.114,9.748,11.772,13.259,14.594,15.721,16.985,17.894,17.29,17.047,17.628,17.733,11.68,18.223,14.007
3,13.223,15.135,16.198,14.742,10.444,10.49,9.747,11.673,14.357,15.521,15.849,15.452,15.545,16.024,14.281,12.038,12.55,14.527,16.013,14.378,15.466,15.058,15.923,16.929,17.939,16.872,17.668,16.751,16.898,17.756,17.127,16.615,14.605,9.379,11.454,13.326,14.769,15.811,16.695,17.689,17.664,17.188,17.651,16.898,8.923,18.655,14.739
4,12.962,14.984,16.298,14.374,9.54,10.354,11.103,12.028,14.856,15.561,16.302,14.572,15.941,15.267,14.022,12.487,13.098,14.519,14.577,14.806,15.993,15.088,17.057,17.564,17.943,16.876,16.197,16.47,18.186,17.414,16.729,16.661,14.697,10.176,12.03,12.28,14.496,15.884,17.137,17.945,17.697,17.07,17.558,17.725,12.328,17.177,13.043
5,13.051,14.952,16.348,12.744,10.449,10.415,9.613,12.96,14.673,15.093,15.92,15.619,15.854,14.384,14.149,12.719,13.543,14.49,15.109,15.407,15.256,14.524,16.771,17.346,17.596,17.464,16.953,17.013,16.173,18.482,16.9,16.179,14.377,10.149,11.598,11.886,14.467,16.149,17.516,17.881,17.728,17.122,17.571,17.68,13.271,15.757,13.52
6,13.466,14.641,15.528,14.112,11.664,10.428,9.759,12.917,14.758,15.498,15.742,15.655,15.704,14.695,14.081,12.972,12.853,14.451,14.875,14.7,15.074,15.568,14.668,17.688,17.316,16.463,18.147,17.117,17.309,21.135,17.662,15.837,13.006,11.566,11.948,12.72,14.38,16.021,17.277,18.305,18.123,17.251,17.456,17.551,15.075,15.067,13.805
7,12.953,14.859,16.045,14.344,11.154,12.681,9.947,12.246,14.279,16.91,17.285,17.092,15.385,16.547,13.859,12.565,12.873,13.584,15.359,15.368,15.486,16.148,14.796,17.641,17.531,16.348,18.449,18.262,17.157,17.418,16.458,16.379,14.119,14.754,12.014,12.604,14.444,15.827,17.239,18.407,17.917,17.04,17.39,17.635,15.704,13.486,13.738
8,13.61,14.65,14.641,14.292,10.912,11.08,11.129,12.451,13.959,19.104,21.495,16.119,15.047,15.66,14.298,13.107,13.378,13.99,15.274,15.338,15.534,15.096,16.313,17.662,18.654,16.365,16.665,17.286,17.875,16.927,16.974,16.532,12.961,9.535,11.922,13.356,15.099,15.857,16.959,18.273,17.949,18.318,17.828,17.77,16.692,12.731,14.113
9,12.823,14.9,15.845,13.112,11.412,9.418,10.14,13.311,14.642,14.185,14.793,14.258,15.162,13.581,13.749,12.217,13.655,14.911,15.894,14.861,15.308,15.431,17.131,17.684,17.514,22.055,16.259,16.489,17.514,15.336,16.865,16.455,10.933,10.576,12.414,13.73,14.83,15.727,16.756,18.272,17.966,18.484,18.299,17.425,17.084,13.662,15.773
10,13.332,14.799,15.484,13.025,11.257,9.494,12.03,13.125,14.774,14.622,14.822,14.543,15.394,13.37,13.134,12.576,13.218,14.882,15.89,15.38,15.712,15.825,16.118,17.62,16.634,18.031,16.52,17.563,17.362,16.524,16.657,16.354,10.526,11.041,12.3,13.743,15.456,16.079,16.949,18.32,17.785,17.995,18.02,17.645,16.492,13.542,14.851
11,14.527,15.175,15.338,13.496,10.939,9.055,11.249,14.503,14.602,15.711,18.079,15.645,16.437,13.55,12.958,12.658,13.784,15.004,15.584,16.262,15.183,16.474,17.409,18.322,16.222,16.465,17.866,17.357,18.102,17.174,17.107,16.03,10.383,11.284,12.605,13.798,15.462,15.835,17.178,17.492,18.278,17.903,18.167,17.54,16.927,13.172,13.875
