Product_Code,Year,Order_Demand
Product_0011,2012,"[32900, 21100, 17000, 23000, 21800, 25300, 18400, 29600, 16100, 32900, 14000, 18700]"
Product_0011,2013,"[22200, 23400, 11700, 14600, 16900, 18100, 14800, 17900, 15900, 14200, 13600, 14800]"
Product_0011,2014,"[24800, 30600, 25300, 33500, 20700, 19300, 13600, 13700, 19100, 14900, 11400, 24600]"
Product_0011,2015,"[30800, 18900, 30200, 54900, 18000, 29600, 31500, 21600, 36600, 31300, 22900, 32100]"
Product_0011,2016,"[27400, 29800, 18400, 40700, 28800, 39300, 20200, 24300, 27100, 30100, 32000, 18800]"
Product_0012,2012,"[76000, 107000, 104000, 65000, 97000, 95000, 59000, 73000, 59000, 111000, 99000, 67000]"
Product_0012,2013,"[78000, 130000, 93000, 57000, 96000, 97000, 74000, 79000, 58000, 78000, 100000, 47000]"
Product_0012,2014,"[102000, 142000, 75000, 98000, 110000, 82000, 88000, 77000, 86000, 77000, 115000, 84000]"
Product_0012,2015,"[58000, 87000, 73000, 75000, 98000, 111000, 95000, 61000, 84000, 110000, 41000, 61000]"
Product_0012,2016,"[64000, 33000, 63000, 77000, 60000, 85000, 21000, 55000, 58000, 80000, 54000, 53000]"
Product_0016,2012,"[54400, 90600, 82300, 60800, 80800, 95900, 74900, 60100, 88800, 78500, 66800, 70800]"
Product_0016,2013,"[59200, 96400, 45100, 82000, 81500, 61100, 44400, 74000, 58600, 84400, 59300, 64200]"
Product_0016,2014,"[73300, 73500, 67300, 40200, 57100, 87300, 42100, 47000, 84500, 62800, 47700, 33600]"
Product_0016,2015,"[85900, 87500, 37900, 74900, 55000, 102400, 71300, 34100, 78900, 73900, 47000, 57200]"
Product_0016,2016,"[51300, 73000, 85100, 54800, 75300, 90000, 36200, 52300, 56000, 69500, 60400, 49600]"
Product_0016,2017,[4000]
Product_0017,2012,"[10000, 11000, 9500, 8400, 9700, 15000, 6700, 8300, 7600, 12300, 7700, 7900]"
Product_0017,2013,"[11700, 12300, 15900, 9900, 17200, 6500, 8600, 7100, 16200, 11600, 6700, 16000]"
Product_0017,2014,"[10700, 15700, 8900, 10800, 10800, 17600, 5000, 6100, 6300, 14400, 8500, 13400]"
Product_0017,2015,"[7600, 15900, 14100, 4500, 7700, 7300, 10500, 4700, 11500, 12300, 7000, 9900]"
Product_0017,2016,"[5600, 6500, 8700, 6500, 12600, 14100, 7200, 8200, 5500, 2600, 6000, 11100]"
Product_0018,2012,"[35300, 64700, 53900, 33300, 67000, 73500, 55400, 41300, 60000, 44700, 41800, 41500]"
Product_0018,2013,"[36100, 57400, 41200, 59100, 41500, 57200, 44900, 48800, 33200, 53200, 42700, 42500]"
Product_0018,2014,"[39000, 72500, 45600, 55700, 58400, 70700, 29700, 51900, 62000, 46900, 32900, 49600]"
Product_0018,2015,"[60800, 51600, 37600, 71800, 67700, 52200, 50200, 47600, 40500, 109200, 22600, 52000]"
Product_0018,2016,"[49800, 43000, 46200, 48900, 59400, 77800, 40100, 40400, 50400, 51700, 53300, 37600]"
Product_0019,2011,[700]
Product_0019,2012,"[16200, 9700, 2900, 4700, 10800, 3400, 3000, 5000, 4600, 4300, 5700, 3200]"
Product_0019,2013,"[9400, 8400, 6200, 17000, 17500, 6100, 7800, 6100, 6800, 7900, 4500, 5400]"
Product_0019,2014,"[6100, 13500, 9800, 12200, 9500, 12100, 8400, 5800, 2900, 14600, 11000, 11700]"
Product_0019,2015,"[9500, 18400, 5100, 5400, 13900, 16200, 6000, 21300, 13100, 16200, 5100, 9700]"
Product_0019,2016,"[9400, 13200, 14500, 8400, 8300, 21100, 16800, 3900, 5500, 7100, 7500, 6800]"
Product_0020,2012,"[21700, 23600, 20000, 20900, 28200, 17600, 27100, 22300, 18600, 23800, 18500, 19900]"
Product_0020,2013,"[15900, 21700, 20100, 12200, 23900, 20000, 18400, 31500, 20900, 15500, 21200, 15100]"
Product_0020,2014,"[17600, 24900, 31300, 39300, 26300, 21300, 23300, 19200, 14100, 22800, 16200, 18500]"
Product_0020,2015,"[21400, 12100, 19300, 38600, 31600, 28600, 29300, 24700, 30800, 31000, 27700, 9500]"
Product_0020,2016,"[49800, 39700, 13400, 36800, 22500, 22200, 17600, 21500, 13500, 28400, 25100, 17300]"
Product_0021,2012,"[99000, 108000, 57000, 80000, 100500, 105500, 104500, 94500, 159000, 121000, 73000, 128000]"
